"build","ordinal","state","name_or_route","width","height","source_manifest","source_render_plan","mapping_status","target_route","disposition","evidence"
"build_01","4104","build-implementation","build_implementation_overview","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4105","build-implementation","build_implementation_overview","1440","1000","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4106","build-implementation","build_implementation_overview","1280","920","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4107","build-implementation-drawer","build_implementation_detail_drawer","1280","920","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4108","build-roadmap","build_roadmap","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4109","build-phase-map","build_phase_map","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4110","build-module-map","build_module_to_build_map","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4111","build-dependency-graph","build_dependency_graph","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4112","build-critical-path","build_critical_path","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4113","build-architecture-code-map","build_architecture_to_code_map","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4114","build-repository-topology","build_repository_topology","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4115","build-package-boundaries","build_package_boundaries","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4116","build-service-map","build_service_implementation_map","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4117","build-database-domains","build_database_domain_plan","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4118","build-schema-ownership","build_schema_ownership","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4119","build-db-migrations","build_database_migration_strategy","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4120","build-rls-plan","build_tenant_isolation_rls_plan","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4121","build-auth-rbac","build_identity_rbac_plan","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4122","build-audit-receipts","build_audit_receipts_plan","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
"build_01","4123","build-secrets-config","build_secrets_config_boundary","1920","1080","build_01/BUILD_01_ARTIFACT_MANIFEST.md","build_01/render_plan.json","not_started","","",""
